x,y,z
8.79,-23.33,48.14
8.79,-23.33,48.14
8.18,-23.33,48.81
8.18,-23.33,48.81
8.18,-23.33,48.81
8.18,-23.03,48.47
8.18,-23.03,48.47
8.18,-22.12,48.14
8.18,-22.12,48.14
8.18,-22.12,48.14
8.18,-22.12,48.14
8.18,-22.42,47.46
8.18,-22.42,47.46
8.18,-22.42,47.46
7.88,-22.42,47.46
7.88,-22.42,47.46
7.88,-22.42,47.46
7.88,-22.42,47.46
7.88,-21.82,46.78
7.88,-21.82,46.78
7.88,-21.82,46.78
7.58,-21.82,47.12
7.58,-21.82,47.12
7.58,-21.82,47.12
7.27,-21.52,46.78
7.27,-21.52,46.78
7.27,-21.52,46.78
7.27,-21.52,46.78
7.58,-21.52,46.44
7.58,-21.52,46.44
7.58,-21.52,46.44
6.97,-21.21,46.78
6.97,-21.21,46.78
6.97,-21.21,46.78
6.97,-21.21,46.44
6.97,-21.21,46.44
6.97,-21.21,46.44
6.97,-20.91,46.44
6.67,-20.91,47.12
6.67,-20.91,47.12
6.67,-20.91,47.12
6.97,-20.91,46.44
6.97,-20.91,46.44
6.97,-20.91,46.44
6.67,-20.61,46.44
6.67,-20.61,46.44
6.67,-20.61,46.44
6.67,-20.91,45.76
6.67,-20.91,45.76
6.67,-20.91,45.76
6.67,-20.91,45.76
6.67,-20.61,45.76
6.67,-20.61,45.76
6.67,-20.61,45.76
6.06,-20.3,45.42
6.06,-20.3,45.42
6.06,-20.3,45.42
5.76,-20,44.75
5.76,-20,44.75
5.76,-20,44.75
5.76,-20,44.75
4.55,-18.79,43.73
4.55,-18.79,43.73
4.55,-18.79,43.73
2.73,-17.58,41.69
2.73,-17.58,41.69
2.73,-17.58,41.69
1.21,-16.36,39.32
1.21,-16.36,39.32
1.21,-16.36,39.32
0.61,-15.15,38.64
0.61,-15.15,38.64
0.61,-15.15,38.64
0.61,-15.15,38.64
0.3,-14.24,38.31
0.3,-14.24,38.31
0.3,-14.24,38.31
0.3,-14.24,38.31
0.3,-14.24,38.31
0.3,-14.24,38.31
0.61,-13.94,37.97
0.61,-13.94,37.97
0.61,-13.94,37.97
0.61,-13.94,37.97
0,-13.64,38.31
0,-13.64,38.31
0,-13.64,38.31
-0.3,-13.33,37.63
-0.3,-13.33,37.63
-0.3,-13.33,37.63
-0.61,-12.73,37.29
-0.61,-12.73,37.29
-0.61,-12.73,37.29
-1.21,-13.03,36.95
-1.21,-13.03,36.95
-1.21,-13.03,36.95
-2.42,-12.73,36.27
-2.42,-12.73,36.27
-2.42,-12.73,36.27
-2.73,-12.73,35.93
-2.73,-12.73,35.93
-2.73,-12.73,35.93
-2.73,-12.73,35.93
-2.73,-12.73,35.93
-2.73,-12.73,35.93
-2.73,-12.73,35.93
-2.73,-12.42,35.59
-2.73,-12.42,35.59
-2.73,-12.42,35.59
-3.03,-12.42,35.93
-3.03,-12.42,35.93
-3.03,-12.42,35.93
-3.64,-12.12,35.59
-3.64,-12.12,35.59
-3.64,-12.12,35.59
-4.24,-12.42,34.58
-4.24,-12.42,34.58
-4.24,-12.42,34.58
-5.15,-12.12,34.24
-5.15,-12.12,34.24
-5.15,-12.12,34.24
-6.06,-12.12,33.22
-6.06,-12.12,33.22
-6.06,-12.12,33.22
-7.27,-12.12,31.86
-7.27,-12.12,31.86
-7.27,-12.12,31.86
-7.27,-12.12,31.86
-8.48,-11.52,30.85
-8.48,-11.52,30.85
-8.48,-11.52,30.85
-10,-10.61,29.83
-10,-10.61,29.83
-10,-10.61,29.83
-11.52,-10,28.14
-11.52,-10,28.14
-11.52,-10,28.14
-13.64,-9.09,26.44
-13.64,-9.09,26.44
-13.64,-9.09,26.44
-15.76,-7.27,24.07
